,Регион отбытия,Регион прибытия,Год,Всего мигрантов в возрасте 14 лет и более,Военно-служащие,Руководители,"Специалисты высшего уровня квалификации, всего",Специалисты ВУК в области науки и техники,Специалисты ВУК в области здраво-охранения,Специалисты ВУК в области образования,Специалисты ВУК в сфере бизнеса и администрирования,Специалисты ВУК по инфор-мационно-коммуникационным технологиям (ИКТ),"Специалисты ВУК в области права, гуманитарных областей и культуры",Специалисты среднего уровня квалификации всего,В области науки и техники,Средний медицинский персонал здравоохранения,Специалисты (ср.квал) по экономической и административной деятельности,"Специалитсы (ср. квал) в области правовой, социальной работы, культуры, спорта и родственных занятий",Специалитсы (ср. квал) в области информационно-коммуникационным технологиям (ИКТ),"Служащие, занятые подготовкой и оформлением документации, учетом и обслуживанием, всего",Служащие общего профиля и обслуживающие офисную технику,Служащие сферы обслуживания населения,Служащие в сфере обработки числовой информации и учета материальных ценностей,"Работники сферы обслуживания и торговли, охраны граждан и собственности","Квалифицированные работники сельского и лесного хозяйства, рыбоводства и рыболовства","Квалифицированные рабочие промышленности, строительства, транспорта и рабочие родственных занятий","Операторы производственных установок и машин, сборщики и водители",Неквалифицированные рабочие,Не указано
13312,Ульяновская область,Республика Дагестан,2020,33,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
13313,Уральский федеральный округ,Республика Дагестан,2020,2248,15,0,60,3,13,21,8,0,4,72,4,12,6,5,0,53,3,26,1,27,4,50,12,77,1344
13314,Курганская область,Республика Дагестан,2020,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
13315,Свердловская область,Республика Дагестан,2020,152,4,0,2,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,4,83
13316,Тюменская область,Республика Дагестан,2020,2014,6,0,56,2,13,19,8,0,3,69,3,11,6,5,0,53,3,26,1,25,4,50,10,70,1228
13317,Ханты-Мансийский автономный округ,Республика Дагестан,2020,1479,5,0,25,2,7,8,4,0,1,44,3,4,4,4,0,33,2,16,1,15,4,39,6,48,990
13318,Ямало-Hенецкий автономный округ,Республика Дагестан,2020,428,0,0,26,0,3,10,3,0,2,21,0,7,2,1,0,18,1,10,0,10,0,11,4,19,200
13319,Тюменская область без авт. округов,Республика Дагестан,2020,107,1,0,5,0,3,1,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,3,38
13320,Челябинская область,Республика Дагестан,2020,64,4,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,27
13321,Сибирский федеральный округ,Республика Дагестан,2020,679,17,3,17,1,0,6,2,2,1,24,1,3,2,2,1,18,1,6,0,15,4,21,1,23,318
13322,Республика Алтай,Республика Дагестан,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13323,Республика Тыва,Республика Дагестан,2020,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
13324,Республика Хакасия,Республика Дагестан,2020,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
13325,Алтайский край,Республика Дагестан,2020,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,24
13326,Красноярский край,Республика Дагестан,2020,412,10,1,11,1,0,6,2,1,0,19,1,2,1,1,1,15,1,5,0,13,3,17,1,16,184
13327,Иркутская область,Республика Дагестан,2020,51,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,25
13328,Кемеровская область,Республика Дагестан,2020,32,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,12
13329,Новосибирская область,Республика Дагестан,2020,63,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,25
13330,Омская область,Республика Дагестан,2020,44,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,27
13331,Томская область,Республика Дагестан,2020,19,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,8
13332,Дальневосточный федеральный округ,Республика Дагестан,2020,576,56,1,10,0,3,2,2,0,2,17,1,3,0,1,1,18,1,9,0,12,1,12,0,17,219
13333,Республика Бурятия,Республика Дагестан,2020,22,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
13334,Республика Саха (Якутия),Республика Дагестан,2020,38,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,3,22
13335,Забайкальский край,Республика Дагестан,2020,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,35
13336,Камчатский край,Республика Дагестан,2020,43,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,24
13337,Приморский край,Республика Дагестан,2020,137,22,0,3,0,0,0,2,0,1,4,0,3,0,0,0,5,0,2,0,2,1,4,0,3,46
13338,Хабаровский край,Республика Дагестан,2020,80,7,0,2,0,2,0,0,0,0,2,0,0,0,0,1,6,1,3,0,3,0,1,0,4,24
13339,Амурская область,Республика Дагестан,2020,60,7,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,1,0,1,27
13340,Магаданская область,Республика Дагестан,2020,17,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4
13341,Сахалинская область,Республика Дагестан,2020,59,1,1,4,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,3,16
13342,Еврейская автономная область,Республика Дагестан,2020,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
13343,Чукотский авт.округ,Республика Дагестан,2020,24,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,9
13344,Российская Федерация,Республика Ингушетия,2020,5814,15,47,799,48,259,309,77,10,86,344,26,97,96,64,14,191,49,109,15,108,25,79,35,577,2700
13345,Центральный федеральный округ,Республика Ингушетия,2020,891,1,7,102,7,34,31,7,1,18,32,2,5,9,7,1,16,6,6,3,14,3,8,4,50,376
13346,Белгородская область,Республика Ингушетия,2020,29,0,0,7,0,2,4,0,0,1,3,1,0,0,2,0,1,0,0,1,1,0,0,0,2,12
13347,Брянская область,Республика Ингушетия,2020,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
13348,Владимирская область,Республика Ингушетия,2020,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13349,Воронежская область,Республика Ингушетия,2020,26,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
13350,Ивановская область,Республика Ингушетия,2020,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5
13351,Калужская область,Республика Ингушетия,2020,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
13352,Костромская область,Республика Ингушетия,2020,12,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
13353,Курская область,Республика Ингушетия,2020,31,0,0,2,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,1,1,2,3,13
13354,Липецкая область,Республика Ингушетия,2020,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2
13355,Московская область,Республика Ингушетия,2020,128,1,0,22,5,5,2,1,0,6,7,0,1,0,1,0,4,2,1,1,1,2,0,1,10,55
13356,Орловская область,Республика Ингушетия,2020,10,0,0,3,0,0,2,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3
13357,Рязанская область,Республика Ингушетия,2020,7,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
13358,Смоленская область,Республика Ингушетия,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
13359,Тамбовская область,Республика Ингушетия,2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13360,Тверская область,Республика Ингушетия,2020,12,0,0,2,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
13361,Тульская область,Республика Ингушетия,2020,7,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
13362,Ярославская область,Республика Ингушетия,2020,51,0,0,3,0,1,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,17
13363,г.Москва,Республика Ингушетия,2020,536,0,5,56,1,22,20,5,1,6,11,0,4,3,1,1,9,4,5,0,8,0,4,1,22,248
13364,Северо-Западный федеральный округ,Республика Ингушетия,2020,232,2,2,30,5,11,9,3,0,1,13,1,5,2,3,0,7,1,3,2,3,1,11,0,8,85
13365,Республика Карелия,Республика Ингушетия,2020,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
13366,Республика Коми,Республика Ингушетия,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
13367,Архангельская область,Республика Ингушетия,2020,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
13368,Hенецкий авт.округ,Республика Ингушетия,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13369,Архангельская область без Ненецкого АО,Республика Ингушетия,2020,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
13370,Вологодская область,Республика Ингушетия,2020,4,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13371,Калининградская область,Республика Ингушетия,2020,22,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,2,0,1,9
13372,Ленинградская область,Республика Ингушетия,2020,30,0,1,3,0,2,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,4,0,1,12
13373,Мурманская область,Республика Ингушетия,2020,16,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4
13374,Новгородская область,Республика Ингушетия,2020,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13375,Псковская область,Республика Ингушетия,2020,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13376,г.Санкт-Петербург,Республика Ингушетия,2020,133,0,0,20,5,8,5,0,0,1,9,1,3,1,3,0,4,1,1,1,2,0,3,0,4,48
13377,Южный федеральный округ,Республика Ингушетия,2020,392,1,4,32,3,16,7,0,2,3,15,2,4,4,1,1,8,2,5,0,4,1,5,4,18,148
13378,Республика Адыгея,Республика Ингушетия,2020,10,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
13379,Республика Калмыкия,Республика Ингушетия,2020,6,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2
13380,Республика Крым,Республика Ингушетия,2020,11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
13381,Краснодарский край,Республика Ингушетия,2020,129,0,1,8,0,2,3,0,1,2,5,0,3,1,1,0,3,0,3,0,3,1,3,2,5,58
13382,Астраханская область,Республика Ингушетия,2020,42,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,1,0,0,1,1,23
13383,Волгоградская область,Республика Ингушетия,2020,27,0,1,4,0,3,0,0,1,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,3,10
13384,Ростовская область,Республика Ингушетия,2020,166,1,0,15,3,10,1,0,0,1,4,0,0,0,0,1,2,0,1,0,0,0,2,1,8,46
13385,г.Севастополь,Республика Ингушетия,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13386,Северо-Кавказский федеральный округ,Республика Ингушетия,2020,3612,4,24,560,27,175,237,56,7,55,250,17,74,73,47,11,141,31,87,9,78,15,41,23,447,1814
13387,Республика Дагестан,Республика Ингушетия,2020,60,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,6,31
13388,Республика Ингушетия,Республика Ингушетия,2020,1900,1,11,342,20,100,154,33,4,29,142,7,44,45,29,5,66,12,36,6,27,7,18,12,219,1055
13389,Кабардино-Балкарская Республика,Республика Ингушетия,2020,50,0,0,9,0,7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,23
13390,Карачаево-Черкесская Республика,Республика Ингушетия,2020,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
13391,Республика Северная Осетия- Алания,Республика Ингушетия,2020,887,1,8,115,5,42,37,14,1,15,65,7,17,18,11,3,45,11,33,1,29,6,18,5,152,376
13392,Чеченская Республика,Республика Ингушетия,2020,495,0,2,75,2,20,38,5,2,8,34,3,11,8,5,2,25,8,15,2,19,2,3,5,62,239
13393,Ставропольский край,Республика Ингушетия,2020,207,1,3,17,0,4,6,4,0,3,6,0,1,2,2,1,5,0,3,0,1,0,1,0,6,79
13394,Приволжский федеральный округ,Республика Ингушетия,2020,182,3,1,15,0,4,6,2,0,3,7,1,2,3,1,0,3,2,1,0,2,1,2,0,6,79
13395,Республика Башкортостан,Республика Ингушетия,2020,29,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,11
13396,Республика Марий Эл,Республика Ингушетия,2020,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13397,Республика Мордовия,Республика Ингушетия,2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13398,Республика Татарстан(Татарстан),Республика Ингушетия,2020,10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
13399,Удмуртская Республика,Республика Ингушетия,2020,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13400,Чувашская Республика(Чувашия),Республика Ингушетия,2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13401,Пермский край,Республика Ингушетия,2020,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
13402,Кировская область,Республика Ингушетия,2020,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
13403,Hижегородская область,Республика Ингушетия,2020,17,1,1,2,0,0,1,0,0,1,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,6
13404,Оренбургская область,Республика Ингушетия,2020,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,6
13405,Пензенская область,Республика Ингушетия,2020,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3
13406,Самарская область,Республика Ингушетия,2020,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,15
13407,Саратовская область,Республика Ингушетия,2020,42,1,0,6,0,1,4,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,2,18
13408,Ульяновская область,Республика Ингушетия,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13409,Уральский федеральный округ,Республика Ингушетия,2020,235,2,5,30,4,10,10,3,0,3,17,2,3,3,4,1,10,5,3,1,2,3,4,2,20,83
13410,Курганская область,Республика Ингушетия,2020,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
13411,Свердловская область,Республика Ингушетия,2020,20,2,0,4,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5
13412,Тюменская область,Республика Ингушетия,2020,188,0,5,21,3,9,5,3,0,1,16,2,3,2,4,1,8,5,2,1,2,2,4,2,18,66
13413,Ханты-Мансийский автономный округ,Республика Ингушетия,2020,72,0,3,13,2,6,3,2,0,0,7,1,0,1,2,1,5,3,1,1,0,0,2,1,8,18
13414,Ямало-Hенецкий автономный округ,Республика Ингушетия,2020,27,0,0,2,0,2,0,0,0,0,1,0,0,0,1,0,2,1,1,0,0,0,0,0,5,10
13415,Тюменская область без авт. округов,Республика Ингушетия,2020,89,0,2,6,1,1,2,1,0,1,8,1,3,1,1,0,1,1,0,0,2,2,2,1,5,38
13416,Челябинская область,Республика Ингушетия,2020,18,0,0,4,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8
13417,Сибирский федеральный округ,Республика Ингушетия,2020,162,2,2,14,1,2,4,3,0,3,5,1,2,2,0,0,5,2,3,0,5,1,3,1,12,69
13418,Республика Алтай,Республика Ингушетия,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13419,Республика Тыва,Республика Ингушетия,2020,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13420,Республика Хакасия,Республика Ингушетия,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13421,Алтайский край,Республика Ингушетия,2020,10,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
13422,Красноярский край,Республика Ингушетия,2020,25,0,0,4,1,0,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,1,7
13423,Иркутская область,Республика Ингушетия,2020,17,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,6
13424,Кемеровская область,Республика Ингушетия,2020,46,1,0,1,0,0,0,1,0,0,2,0,1,1,0,0,2,1,1,0,3,0,0,0,0,21
13425,Новосибирская область,Республика Ингушетия,2020,20,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,3,10
13426,Омская область,Республика Ингушетия,2020,22,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,9
13427,Томская область,Республика Ингушетия,2020,18,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,7
13428,Дальневосточный федеральный округ,Республика Ингушетия,2020,108,0,2,16,1,7,5,3,0,0,5,0,2,0,1,0,1,0,1,0,0,0,5,1,16,46
13429,Республика Бурятия,Республика Ингушетия,2020,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
13430,Республика Саха (Якутия),Республика Ингушетия,2020,33,0,1,6,1,3,0,2,0,0,4,0,2,0,1,0,0,0,0,0,0,0,2,0,7,10
13431,Забайкальский край,Республика Ингушетия,2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13432,Камчатский край,Республика Ингушетия,2020,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
13433,Приморский край,Республика Ингушетия,2020,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
13434,Хабаровский край,Республика Ингушетия,2020,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
13435,Амурская область,Республика Ингушетия,2020,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
13436,Магаданская область,Республика Ингушетия,2020,32,0,1,8,0,3,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,4,13
13437,Сахалинская область,Республика Ингушетия,2020,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
13438,Еврейская автономная область,Республика Ингушетия,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13439,Чукотский авт.округ,Республика Ингушетия,2020,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13440,Российская Федерация,Кабардино-Балкарская Республика,2020,7546,53,35,368,29,79,114,58,18,30,305,33,71,49,48,18,182,17,129,6,269,51,159,34,398,3263
13441,Центральный федеральный округ,Кабардино-Балкарская Республика,2020,2084,14,16,88,7,13,19,14,6,7,83,8,11,9,8,6,51,6,27,1,55,5,21,11,50,716
13442,Белгородская область,Кабардино-Балкарская Республика,2020,29,1,1,3,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,4,7
13443,Брянская область,Кабардино-Балкарская Республика,2020,15,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,6,1,0,0,0,3
13444,Владимирская область,Кабардино-Балкарская Республика,2020,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
13445,Воронежская область,Кабардино-Балкарская Республика,2020,53,0,0,2,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,1,1,1,0,1,15
13446,Ивановская область,Кабардино-Балкарская Республика,2020,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
13447,Калужская область,Кабардино-Балкарская Республика,2020,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5
13448,Костромская область,Кабардино-Балкарская Республика,2020,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
13449,Курская область,Кабардино-Балкарская Республика,2020,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
13450,Липецкая область,Кабардино-Балкарская Республика,2020,18,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,13
13451,Московская область,Кабардино-Балкарская Республика,2020,700,11,7,40,5,5,10,6,1,1,53,2,7,5,5,4,36,3,19,1,34,2,12,8,21,187
13452,Орловская область,Кабардино-Балкарская Республика,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
13453,Рязанская область,Кабардино-Балкарская Республика,2020,21,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5
13454,Смоленская область,Кабардино-Балкарская Республика,2020,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
13455,Тамбовская область,Кабардино-Балкарская Республика,2020,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13456,Тверская область,Кабардино-Балкарская Республика,2020,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,3
13457,Тульская область,Кабардино-Балкарская Республика,2020,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
13458,Ярославская область,Кабардино-Балкарская Республика,2020,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3
13459,г.Москва,Кабардино-Балкарская Республика,2020,1140,1,7,41,2,8,6,7,4,5,20,4,2,4,1,1,10,2,4,0,10,0,5,2,15,456
13460,Северо-Западный федеральный округ,Кабардино-Балкарская Республика,2020,627,6,3,36,2,12,6,4,3,4,40,7,7,5,6,2,19,1,13,0,26,1,14,6,18,144
13461,Республика Карелия,Кабардино-Балкарская Республика,2020,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13462,Республика Коми,Кабардино-Балкарская Республика,2020,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
13463,Архангельская область,Кабардино-Балкарская Республика,2020,11,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
13464,Hенецкий авт.округ,Кабардино-Балкарская Республика,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13465,Архангельская область без Ненецкого АО,Кабардино-Балкарская Республика,2020,11,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
13466,Вологодская область,Кабардино-Балкарская Республика,2020,14,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,3,2
13467,Калининградская область,Кабардино-Балкарская Республика,2020,23,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7
13468,Ленинградская область,Кабардино-Балкарская Республика,2020,104,1,1,4,0,1,0,1,0,0,5,1,0,1,0,0,2,0,0,0,7,0,2,0,6,27
13469,Мурманская область,Кабардино-Балкарская Республика,2020,23,0,0,4,0,1,1,1,1,0,2,1,0,0,0,0,1,0,1,0,2,0,0,1,0,2
13470,Новгородская область,Кабардино-Балкарская Республика,2020,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
13471,Псковская область,Кабардино-Балкарская Республика,2020,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13472,г.Санкт-Петербург,Кабардино-Балкарская Республика,2020,429,4,1,24,2,7,5,1,2,4,29,5,7,3,4,1,16,1,12,0,15,0,10,4,7,96
13473,Южный федеральный округ,Кабардино-Балкарская Республика,2020,1060,11,1,52,2,15,18,6,1,4,33,0,9,9,8,1,17,0,14,1,24,4,23,3,53,372
13474,Республика Адыгея,Кабардино-Балкарская Республика,2020,63,1,0,5,0,0,2,2,0,0,4,0,1,1,0,0,1,0,1,0,1,2,2,0,3,12
13475,Республика Калмыкия,Кабардино-Балкарская Республика,2020,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3
13476,Республика Крым,Кабардино-Балкарская Республика,2020,34,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,12
13477,Краснодарский край,Кабардино-Балкарская Республика,2020,458,2,0,20,2,7,5,1,0,1,17,0,3,5,5,1,7,0,7,0,16,1,11,3,23,126
13478,Астраханская область,Кабардино-Балкарская Республика,2020,51,0,1,5,0,0,3,1,0,0,4,0,1,2,1,0,0,0,0,0,2,0,1,0,3,24
13479,Волгоградская область,Кабардино-Балкарская Республика,2020,105,0,0,4,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2,0,6,73
13480,Ростовская область,Кабардино-Балкарская Республика,2020,324,1,0,17,0,7,5,2,1,2,7,0,3,1,2,0,7,0,4,1,4,0,4,0,18,120
13481,г.Севастополь,Кабардино-Балкарская Республика,2020,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13482,Северо-Кавказский федеральный округ,Кабардино-Балкарская Республика,2020,3216,16,13,163,12,34,67,27,7,12,121,12,39,22,23,8,88,10,71,3,142,38,85,12,241,1809
13483,Республика Дагестан,Кабардино-Балкарская Республика,2020,55,0,0,1,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,2,0,1,0,7,36
